"","foodExp_Cereals_Cash_Purchase","foodExp_Cereals_Credit_Purchase","foodExp_Cereals_NonPurchase_Bartering","foodExp_Cereals_NonPurchase_BorrowFromFamilyFriends","foodExp_Cereals_NonPurchase_Farming","foodExp_Cereals_NonPurchase_FishHuntGather","foodExp_Cereals_NonPurchase_Gifts","foodExp_Cereals_NonPurchase_NonPurchased","foodExp_Cereals_NonPurchase_SocialSafetyNets","foodExp_Tubers_Cash_Purchase","foodExp_Tubers_Credit_Purchase","foodExp_Tubers_NonPurchase_Bartering","foodExp_Tubers_NonPurchase_BorrowFromFamilyFriends","foodExp_Tubers_NonPurchase_Farming","foodExp_Tubers_NonPurchase_FishHuntGather","foodExp_Tubers_NonPurchase_Gifts","foodExp_Tubers_NonPurchase_NonPurchased","foodExp_Tubers_NonPurchase_SocialSafetyNets","foodExp_Pulses_Cash_Purchase","foodExp_Pulses_Credit_Purchase","foodExp_Pulses_NonPurchase_Bartering","foodExp_Pulses_NonPurchase_BorrowFromFamilyFriends","foodExp_Pulses_NonPurchase_Farming","foodExp_Pulses_NonPurchase_FishHuntGather","foodExp_Pulses_NonPurchase_Gifts","foodExp_Pulses_NonPurchase_NonPurchased","foodExp_Pulses_NonPurchase_SocialSafetyNets","foodExp_FruitsVeg_Cash_Purchase","foodExp_FruitsVeg_Credit_Purchase","foodExp_FruitsVeg_NonPurchase_Bartering","foodExp_FruitsVeg_NonPurchase_Farming","foodExp_FruitsVeg_NonPurchase_FishHuntGather","foodExp_FruitsVeg_NonPurchase_Gifts","foodExp_FruitsVeg_NonPurchase_NonPurchased","foodExp_FruitsVeg_NonPurchase_SocialSafetyNets","foodExp_Proteins_Cash_Purchase","foodExp_Proteins_Credit_Purchase","foodExp_Proteins_NonPurchase_BorrowFromFamilyFriends","foodExp_Proteins_NonPurchase_Farming","foodExp_Proteins_NonPurchase_FishHuntGather","foodExp_Proteins_NonPurchase_Gifts","foodExp_Proteins_NonPurchase_NonPurchased","foodExp_Proteins_NonPurchase_SocialSafetyNets","foodExp_Fats_Cash_Purchase","foodExp_Fats_Credit_Purchase","foodExp_Fats_NonPurchase_Bartering","foodExp_Fats_NonPurchase_Farming","foodExp_Fats_NonPurchase_FishHuntGather","foodExp_Fats_NonPurchase_Gifts","foodExp_Fats_NonPurchase_NonPurchased","foodExp_Fats_NonPurchase_SocialSafetyNets","foodExp_Dairy_Cash_Purchase","foodExp_Dairy_Credit_Purchase","foodExp_Dairy_NonPurchase_Bartering","foodExp_Dairy_NonPurchase_BorrowFromFamilyFriends","foodExp_Dairy_NonPurchase_Farming","foodExp_Dairy_NonPurchase_FishHuntGather","foodExp_Dairy_NonPurchase_Gifts","foodExp_Dairy_NonPurchase_NonPurchased","foodExp_Dairy_NonPurchase_SocialSafetyNets","foodExp_Sugars_Cash_Purchase","foodExp_Sugars_Credit_Purchase","foodExp_Sugars_NonPurchase_Bartering","foodExp_Sugars_NonPurchase_BorrowFromFamilyFriends","foodExp_Sugars_NonPurchase_Farming","foodExp_Sugars_NonPurchase_FishHuntGather","foodExp_Sugars_NonPurchase_Gifts","foodExp_Sugars_NonPurchase_NonPurchased","foodExp_Sugars_NonPurchase_SocialSafetyNets","foodExp_Tea_Cash_Purchase","foodExp_Tea_Credit_Purchase","foodExp_Tea_NonPurchase_BorrowFromFamilyFriends","foodExp_Tea_NonPurchase_Farming","foodExp_Tea_NonPurchase_FishHuntGather","foodExp_Tea_NonPurchase_Gifts","foodExp_Tea_NonPurchase_NonPurchased"
"30",500,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"31",,,50,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,50,,,,150,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"32",100,,,,,,,,,600,,,,,,,,,170,,,,300,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"33",250,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,75,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"34",30,,,,,,,200,,30,,,,,,,500,,150,,,,,,,450,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"35",152,,,,,,,40,,100,,,,,,,100,,1200,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,8,,,,,,,,60,,,,,,,,,,,,,,,
"36",,,,,,,,,,750,,1000,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,140,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"37",500,,,,,,,300,,250,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"38",500,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"39",,,,,,,,200,,500,,,,,,,,,200,,,,,,,,,,,,,,,,,300,,,,,,,,100,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"40",,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,75,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
"41",,,,,150,,,,,300,,,,200,,,,,,,,,,,,,,,,,100,,,,,150,,,,,,,,50,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"42",200,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,250,,,,,,,,750,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"43",120,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,750,,,,,,,,2500,,,,,,,,,,,,,,,,,357,,,,,,,,,,,,,,,
"44",,,,,75,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45",750,,,,,,,,,,,,,500,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"46",,,,,75,,,,,,,,,375,,,,,,,,,,,,,,,,,300,,,,,,,,,250,,,,75,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,
"47",25,,,,125,,,,,500,,,,2000,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"48",,,,,1000,,,,,3000,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"49",,,,,2000,,,,,1500,,,,1000,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"50",2000,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,200,,,,,,
"51",4800,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,500,,,,,,,,200,,,,,,,,,,,,,,,,,600,,,,,,,,,750,,,,,,
"52",12000,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,300,,,,,,,,,250,,,,,,
"53",400,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,120,,50,,,,,,,,65,,,,,,,,,,,,,,,,,220,,,,,,,,,42,,,,,,
"54",865,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,90,,,,,45,,,,,,,,45,,,,,,,,,,,,,,,,,210,,,,,,,,,30,,,,,,
"55",600,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,90,,,,,95,,,,,,,,85,,,,,,,,,,,,,,,,,240,,,,,,,,,180,,,,,,
"56",2400,,,,,,,400,,,,,,,,,,,320,,,,,,,,,,,,85,,,,,210,,,,,,,,50,,,,,,,,,,,,,,,,,200,,,,,,,,,35,,,,,,
"57",4800,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,300,,,,,,,,250,,,,,,,,,,,,,,,,,200,,,,,,,,,230,,,,,,
"58",50,,,,,,,,,20,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"59",500,,,,,,,,,300,,,,,,,,,700,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"60",750,,,,,,,,,500,,,,,,,,,1000,,,,,,,,,250,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"61",1000,,,,,,,,,250,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,1000,,,,,,
"62",1500,,,,,,,700,,100,,,,,,,,,,,,,,,,,,500,,,,,,,,1750,,,,,,,,500,,,,,,,,,,,,,,,,,150,,,,,,,,,490,,,,,,
"63",150,,,,,,,5000,,700,,,,,,,,,1000,,,,,,,,,,,,,,,,,1000,,,,,,,,2000,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"64",,,,,350,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"65",,,,,,,,,,75,,,,,,,,,500,,,,,,,,,5,,,50,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66",600,,,,200,,,,,300,,,,280,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,50,80,,,,,,,,,,,,,,
"67",1000,,,,,,,,,500,,,,,,,,,750,,,,,,,,,450,,,,,,,,500,,,,,,,,210,,,,,,,,,,,,,,,,,120,,,,,,,,,250,,,,,,
"68",,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"69",,,,,,,,,,900,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,
"70",250,,,,50,,,,,50,,,,40,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"71",250,,,,,,,150,,150,,,,,,,250,,200,,,,,,,,,,,,150,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"72",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"73",,,,,,,,,,,,,,,,,,,200,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"75",,,,,,,,,,25,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"76",30,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"77",200,,,,100,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,75,,,,,,126,,,,,,,,,,,251,,,,,,,,,,,,,,,
"78",,,,,,,,,,500,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"79",,,,,400,,,,,,,,,150,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,
"80",,,,,,,,,,,,,,250,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,
"81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"82",,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,
"83",,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,
"84",450,,,,,,,200,,200,,,,,,,175,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,
"85",,,,,,,,200,,300,,,,,,,,,1000,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,
"86",150,,,,200,,,,,350,,,,200,,,,,400,,,,,,,,,,,,150,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"87",,,,,700,,,,,,,,,250,,,,,600,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,
"88",500,,,,,,,,,1000,,,,,,,,,950,,,,,,,,,,,,200,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,
"89",1500,,,,,,,,,250,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,
"90",1600,600,,,,,,,,300,100,,,,,,,,1200,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"91",500,,,,1000,,,,,100,,,,200,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"92",,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"93",300,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"94",,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
"95",30,,,,,,,200,,30,,,,,,,,,100,,,,,,,,,,,,250,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"96",500,,,,,,,,,150,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,200,,
"97",500,200,,,,,,120,,50,,,,,,,,,100,,,,,,,,,8,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,300,,,,,,
"98",,,,,,,,500,,380,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,500,,,,,,
"100",150,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,100,,,,,,,,75,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
"101",20,,,,,,,,,,,,,3,,,,,250,300,,,,,,,,,,,5,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,200,100,,,,3,,,,280,,,5,,,
"102",500,,,,,,,,,400,,,,1,,,,,750,,,,,,,,,,,,,,,,,860,,,,,,,,200,,,,,,,,,,,,,,,,,250,,,,,,,1,,350,,,,,,1
"103",500,,,,,,,,,650,,,,,,,,,750,,,,,,,,,,,,,,,,,1000,,,,,,,,200,,,,,,,,,,,,,,,,,200,120,,,,1,,,,500,220,,,,,
"104",,,,,1000,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,
"105",,,,,500,,,,,,,,,150,,,,,,,,,700,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,
"106",,,,,700,,,,,,,,,500,,,,,,,,,800,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"107",,,,,1000,,,,,,,,,420,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"108",700,,,,500,,,,,100,,,,200,,,,,500,,,,750,,,,,,,,450,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"109",,,,,2000,,,,,,,,,,,,,,,,,,1200,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"110",,,,,3500,,,,,,,,,500,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"111",750,,,,2250,,,,,300,,,,400,,,,,900,,,,1200,,,,,,,,1300,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"112",1400,,,,750,,,,,300,,,,450,,,,,2000,,,,1000,,,,,,,,1500,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"113",,,,,3700,,,,,,,,,400,,,,,,,,,3000,,,,,,,,900,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"114",,,,,3700,,,,,,,,,450,,,,,1750,,,,1200,,,,,,,,1300,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"115",3800,,,,1200,,,,,300,,,,700,,,,,2900,,,,1000,,,,,,,,1700,,,,,800,,,,,,,,300,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"116",,,,,1000,,,,,,,,,400,,,,,,,,,200,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,,,,,,,,300,,,,,,
"117",,,,,1500,,,,,,,,,750,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
"118",,,,,1000,,,,,,,,,500,,,,,800,,,,,,,,,,,,140,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
"119",,,,,2000,,,,,,,,,150,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
"120",,,,,2100,,,,,,,,,,,,,,,,,,1500,,,,,,,,600,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,100,,,,,,,,,,,,,,,
"121",2100,,,,700,,,,,,,,,300,,,,,1000,,,,500,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"122",1400,,,,980,,,,,,,,,600,,,,,1000,,,,1500,,,,,,,,900,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
