"","foodCns_7day_Cereals_Bartering","foodCns_7day_Cereals_Begging","foodCns_7day_Cereals_BorrowFromFamilyFriends","foodCns_7day_Cereals_Farming","foodCns_7day_Cereals_FishHuntGather","foodCns_7day_Cereals_Gifts","foodCns_7day_Cereals_Purchased","foodCns_7day_Cereals_SocialSafetyNets","foodCns_7day_Tubers_Bartering","foodCns_7day_Tubers_Begging","foodCns_7day_Tubers_BorrowFromFamilyFriends","foodCns_7day_Tubers_Farming","foodCns_7day_Tubers_FishHuntGather","foodCns_7day_Tubers_Gifts","foodCns_7day_Tubers_Purchased","foodCns_7day_Tubers_SocialSafetyNets","foodCns_7day_Pulses_Bartering","foodCns_7day_Pulses_Begging","foodCns_7day_Pulses_BorrowFromFamilyFriends","foodCns_7day_Pulses_Farming","foodCns_7day_Pulses_FishHuntGather","foodCns_7day_Pulses_Gifts","foodCns_7day_Pulses_Purchased","foodCns_7day_Pulses_SocialSafetyNets","foodCns_Veg_Bartering","foodCns_Veg_Begging","foodCns_Veg_BorrowFromFamilyFriends","foodCns_Veg_Farming","foodCns_Veg_FishHuntGather","foodCns_Veg_Gifts","foodCns_Veg_Purchased","foodCns_Veg_SocialSafetyNets","foodCns_7day_Fruits_Bartering","foodCns_7day_Fruits_Begging","foodCns_7day_Fruits_BorrowFromFamilyFriends","foodCns_7day_Fruits_Farming","foodCns_7day_Fruits_FishHuntGather","foodCns_7day_Fruits_Gifts","foodCns_7day_Fruits_Purchased","foodCns_7day_Fruits_SocialSafetyNets","foodCns_7day_Meat_Bartering","foodCns_7day_Meat_Begging","foodCns_7day_Meat_BorrowFromFamilyFriends","foodCns_7day_Meat_Farming","foodCns_7day_Meat_FishHuntGather","foodCns_7day_Meat_Gifts","foodCns_7day_Meat_Purchased","foodCns_7day_Meat_SocialSafetyNets","foodCns_7day_Fish_Begging","foodCns_7day_Fish_BorrowFromFamilyFriends","foodCns_7day_Fish_Farming","foodCns_7day_Fish_FishHuntGather","foodCns_7day_Fish_Gifts","foodCns_7day_Fish_Purchased","foodCns_7day_Fish_SocialSafetyNets","foodCns_7day_Eggs_Bartering","foodCns_7day_Eggs_Begging","foodCns_7day_Eggs_BorrowFromFamilyFriends","foodCns_7day_Eggs_Farming","foodCns_7day_Eggs_FishHuntGather","foodCns_7day_Eggs_Gifts","foodCns_7day_Eggs_Purchased","foodCns_7day_Eggs_SocialSafetyNets","foodCns_7day_Dairy_Bartering","foodCns_7day_Dairy_Begging","foodCns_7day_Dairy_BorrowFromFamilyFriends","foodCns_7day_Dairy_Farming","foodCns_7day_Dairy_FishHuntGather","foodCns_7day_Dairy_Gifts","foodCns_7day_Dairy_Purchased","foodCns_7day_Fats_Bartering","foodCns_7day_Fats_Begging","foodCns_7day_Fats_BorrowFromFamilyFriends","foodCns_7day_Fats_Farming","foodCns_7day_Fats_FishHuntGather","foodCns_7day_Fats_Gifts","foodCns_7day_Fats_Purchased","foodCns_7day_Fats_SocialSafetyNets","foodCns_7day_Sugar_Bartering","foodCns_7day_Sugar_Begging","foodCns_7day_Sugar_BorrowFromFamilyFriends","foodCns_7day_Sugar_Farming","foodCns_7day_Sugar_FishHuntGather","foodCns_7day_Sugar_Gifts","foodCns_7day_Sugar_Purchased","foodCns_7day_Sugar_SocialSafetyNets","foodCns_7day_Condiments_Bartering","foodCns_7day_Condiments_Begging","foodCns_7day_Condiments_BorrowFromFamilyFriends","foodCns_7day_Condiments_Farming","foodCns_7day_Condiments_FishHuntGather","foodCns_7day_Condiments_Gifts","foodCns_7day_Condiments_Purchased","foodCns_7day_Condiments_SocialSafetyNets"
"18",,,,,,,7,,,,,,,,2,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,
"19",,,,,,,7,,,,,,,,1,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"20",,,,,,,7,,,,,,,,2,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"21",,,,,,,7,,,,,,,,2,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22",,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"23",,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"24",,,,7,,,,,,,,,,,1,,,,,7,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"25",,,,7,,,,,,,,,,,1,,,,,,,,3,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,1,,,,,,,,,
"26",,,,7,,,,,,,,,,,1,,,,,3,,,,,,,,2,,,,,,,,3,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,,1,
"27",,,,,,,4,,,,,,,,,,,,,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"28",,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"29",,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"30",,,,,,,5,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"31",,,,,,,4,,,,,,,,2,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"32",,,,,,,6,,,,,,,,1,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"33",,,,,,,4,,,,,,,,,,,,,,,,3,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7,
"34",,,,7,,,,,,,,,,,,,,,,,,,3,,,,,,,,7,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"35",,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
"36",,,,4,,,,,,,,2,,,,,,,,,,,3,,,,,,4,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"37",,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"38",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
"39",,,,6,,,,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"40",,,,6,,,,,,,,,,,2,,,,,,,,3,,,,,,4,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,
"41",,,,5,,,,,,,,,,,2,,,,,,,,1,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,
"42",,,,7,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"43",,,,6,,,,,,,,,,,1,,,,,,5,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"44",,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
"45",,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46",,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47",,,,,,,6,,,,,,,,1,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"48",,,,,,,,6,,,,,,,1,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"49",,,,,,,3,,,,,,,,1,,,,,,5,,,,,,,,7,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
"50",,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,7,
"51",,,,,,,3,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
"52",,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"53",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"54",,,,,,,,7,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
"55",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
"56",,,,,,,6,,,,,,2,,,,,,,,,,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
"57",,,,,,,4,,,,,,,,3,,,,,,,,3,,,,,,4,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,7,,,,,,,,7,,,,,,,,7,
"58",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,,7,
"59",,,,,,,7,,,,,,,,,,,,,,,,4,,,,,,7,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"60",,,,,,,7,,,,,,,,,,,,,,,,4,,,,,,7,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"61",,,7,,,,,,,,,,,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"62",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,7,
"63",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"64",,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"65",,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"66",,,,7,,,,,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"67",,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"68",,,,7,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,,7,
"69",,,,7,,,,,,,,1,,,,,,,,2,,,,,,,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"70",,,,7,,,,,,,,1,,,,,,,,,7,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"71",,,,3,,,,,,,,1,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"72",,,,5,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"73",,,,7,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,7,
"74",,,,5,,,,,,,,2,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,7,
"75",7,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,7,
"76",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"77",,,,7,,,,,,,,,,,1,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,7,,,,,,,,7,
"78",,,,,,,7,,,,,,,,2,,,,,,,,1,,,,,,,,7,,,,,,,,7,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"79",,,,,,,7,,,,,,,,1,,,,,,,,1,,,,,7,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"80",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"81",,,,,,,7,,,,,,,,2,,,,,,,,7,,,,,4,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"82",,,,7,,,,,,,,1,,,,,,,,2,,,,,,,,,7,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,7,
"83",,,,3,,,,,,,,1,,,,,,,,2,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,7,
"84",,,,7,,,,,,,,1,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"85",,,,7,,,,,,,,2,,,,,,,,3,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"86",,,,7,,,,,,,,2,,,,,,,,3,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,7,
"87",,,,5,,,,,,,,2,,,,,,,,3,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"88",,,,7,,,,,,,,1,,,,,,,,2,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"89",,,,4,,,,,,,,3,,,,,,,,4,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"90",,,,7,,,,,,,,1,,,,,,,,3,,,,,,,,,5,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,
"91",,,,7,,,,,,,,2,,,,,,,,7,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"92",,,,,,,4,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"93",,,,7,,,,,,,,1,,,,,,,,7,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,7,
"94",,,,,,,7,,,,,,,,1,,,,,,,,2,,,,,4,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,7,
"95",,,,4,,,,,,,,1,,,,,,,,2,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"96",,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"97",,,,,,,5,,,,,,,,2,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,
"98",,,,,,,7,,,,,,,,1,,,,,,,,3,,,,,2,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
"99",,,,,,,7,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,2,,,,,,,,7,,,,,,,,7,
"100",,,,7,,,,,,,,,,,5,,,,,,,,4,,,,,3,,,,,,,,7,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,7,
