"","foodCns_7day_Staples_Bartering","foodCns_7day_Staples_BorrowFromFamilyFriends","foodCns_7day_Staples_Farming","foodCns_7day_Staples_FishHuntGather","foodCns_7day_Staples_Gifts","foodCns_7day_Staples_Purchased","foodCns_7day_Staples_SocialSafetyNets","foodCns_7day_Pulses_Bartering","foodCns_7day_Pulses_BorrowFromFamilyFriends","foodCns_7day_Pulses_Farming","foodCns_7day_Pulses_FishHuntGather","foodCns_7day_Pulses_Gifts","foodCns_7day_Pulses_Purchased","foodCns_7day_Pulses_SocialSafetyNets","foodCns_7day_Dairy_Bartering","foodCns_7day_Dairy_BorrowFromFamilyFriends","foodCns_7day_Dairy_Farming","foodCns_7day_Dairy_FishHuntGather","foodCns_7day_Dairy_Gifts","foodCns_7day_Dairy_Purchased","foodCns_7day_Dairy_SocialSafetyNets","foodCns_7day_Proteins_Bartering","foodCns_7day_Proteins_BorrowFromFamilyFriends","foodCns_7day_Proteins_Farming","foodCns_7day_Proteins_FishHuntGather","foodCns_7day_Proteins_Gifts","foodCns_7day_Proteins_Purchased","foodCns_7day_Proteins_SocialSafetyNets","foodCns_7day_FleshMeat_Bartering","foodCns_7day_FleshMeat_BorrowFromFamilyFriends","foodCns_7day_FleshMeat_Farming","foodCns_7day_FleshMeat_FishHuntGather","foodCns_7day_FleshMeat_Gifts","foodCns_7day_FleshMeat_Purchased","foodCns_7day_FleshMeat_SocialSafetyNets","foodCns_7day_OrganMeat_Bartering","foodCns_7day_OrganMeat_BorrowFromFamilyFriends","foodCns_7day_OrganMeat_Farming","foodCns_7day_OrganMeat_FishHuntGather","foodCns_7day_OrganMeat_Gifts","foodCns_7day_OrganMeat_Purchased","foodCns_7day_OrganMeat_SocialSafetyNets","foodCns_7day_Fish_Bartering","foodCns_7day_Fish_BorrowFromFamilyFriends","foodCns_7day_Fish_Farming","foodCns_7day_Fish_FishHuntGather","foodCns_7day_Fish_Gifts","foodCns_7day_Fish_Purchased","foodCns_7day_Fish_SocialSafetyNets","foodCns_7day_Eggs_BorrowFromFamilyFriends","foodCns_7day_Eggs_Farming","foodCns_7day_Eggs_FishHuntGather","foodCns_7day_Eggs_Gifts","foodCns_7day_Eggs_Purchased","foodCns_7day_Eggs_SocialSafetyNets","foodCns_7day_Veg_Bartering","foodCns_7day_Veg_BorrowFromFamilyFriends","foodCns_7day_Veg_Farming","foodCns_7day_Veg_FishHuntGather","foodCns_7day_Veg_Gifts","foodCns_7day_Veg_Purchased","foodCns_7day_Veg_SocialSafetyNets","foodCns_7day_VegVitA_Bartering","foodCns_7day_VegVitA_BorrowFromFamilyFriends","foodCns_7day_VegVitA_Farming","foodCns_7day_VegVitA_FishHuntGather","foodCns_7day_VegVitA_Gifts","foodCns_7day_VegVitA_Purchased","foodCns_7day_VegVitA_SocialSafetyNets","foodCns_7day_VegDarkGreen_Bartering","foodCns_7day_VegDarkGreen_BorrowFromFamilyFriends","foodCns_7day_VegDarkGreen_Farming","foodCns_7day_VegDarkGreen_FishHuntGather","foodCns_7day_VegDarkGreen_Gifts","foodCns_7day_VegDarkGreen_Purchased","foodCns_7day_VegDarkGreen_SocialSafetyNets","foodCns_7day_Fruits_BorrowFromFamilyFriends","foodCns_7day_Fruits_Farming","foodCns_7day_Fruits_FishHuntGather","foodCns_7day_Fruits_Gifts","foodCns_7day_Fruits_Purchased","foodCns_7day_Fruits_SocialSafetyNets","foodCns_7day_FruitVitA_Bartering","foodCns_7day_FruitVitA_BorrowFromFamilyFriends","foodCns_7day_FruitVitA_Farming","foodCns_7day_FruitVitA_Gifts","foodCns_7day_FruitVitA_Purchased","foodCns_7day_FruitVitA_SocialSafetyNets","foodCns_7day_Fats_Bartering","foodCns_7day_Fats_BorrowFromFamilyFriends","foodCns_7day_Fats_Farming","foodCns_7day_Fats_FishHuntGather","foodCns_7day_Fats_Gifts","foodCns_7day_Fats_Purchased","foodCns_7day_Fats_SocialSafetyNets","foodCns_7day_Sugars_Bartering","foodCns_7day_Sugars_BorrowFromFamilyFriends","foodCns_7day_Sugars_Farming","foodCns_7day_Sugars_FishHuntGather","foodCns_7day_Sugars_Gifts","foodCns_7day_Sugars_Purchased","foodCns_7day_Sugars_SocialSafetyNets","foodCns_7day_Condiments_Bartering","foodCns_7day_Condiments_BorrowFromFamilyFriends","foodCns_7day_Condiments_Farming","foodCns_7day_Condiments_FishHuntGather","foodCns_7day_Condiments_Gifts","foodCns_7day_Condiments_Purchased","foodCns_7day_Condiments_SocialSafetyNets"
"20",,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
"21",,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,6,,,,,,,,
"22",,,7,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,7,
"23",,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"24",,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,
"25",,,3,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26",,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27",,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"29",,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"30",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"31",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,7,
"32",,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
"33",,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34",,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"36",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,7,
"37",,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"38",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"39",,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,2,,,,,,,2,
"40",,,2,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,
"41",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,
"42",,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,
"43",,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,7,
"45",,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"46",,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,
"47",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,
"48",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"49",,,7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,7,
"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,
"51",,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,
"52",,,,,,3,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,
"53",,,,,,5,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,7,
"54",,,,,,6,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,7,
"55",,,,,,7,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,6,,,,,,,7,
"56",,,,,,7,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,7,
"57",,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,
"58",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"60",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,7,
"61",,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4,
"62",,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,
"63",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"64",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,
"66",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
"67",,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,5,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"68",,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,5,
"69",,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,6,
"70",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
"71",,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,
"72",,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"74",,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"76",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
"77",,,2,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,
"78",,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"79",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"80",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
